date,is_open
2024-06-11,True
2024-06-12,True
2024-06-13,True
2024-06-14,True
2024-06-15,False
2024-06-16,False
2024-06-17,True
2024-06-18,True
2024-06-19,True
2024-06-20,True
2024-06-21,True
2024-06-22,False
2024-06-23,False
2024-06-24,True
2024-06-25,True
2024-06-26,True
2024-06-27,True
2024-06-28,True
2024-06-29,False
2024-06-30,False
2024-07-01,True
2024-07-02,True
2024-07-03,True
2024-07-04,True
2024-07-05,True
2024-07-06,False
2024-07-07,False
2024-07-08,True
2024-07-09,True
2024-07-10,True
2024-07-11,True
2024-07-12,True
2024-07-13,False
2024-07-14,False
2024-07-15,True
2024-07-16,True
2024-07-17,True
2024-07-18,True
2024-07-19,True
2024-07-20,False
2024-07-21,False
2024-07-22,True
2024-07-23,True
2024-07-24,True
2024-07-25,True
2024-07-26,True
2024-07-27,False
2024-07-28,False
2024-07-29,True
2024-07-30,True
2024-07-31,True
2024-08-01,True
2024-08-02,True
2024-08-03,False
2024-08-04,False
2024-08-05,True
2024-08-06,True
2024-08-07,True
2024-08-08,True
2024-08-09,True
2024-08-10,False
2024-08-11,False
2024-08-12,True
2024-08-13,True
2024-08-14,True
2024-08-15,True
2024-08-16,True
2024-08-17,False
2024-08-18,False
2024-08-19,True
2024-08-20,True
2024-08-21,True
2024-08-22,True
2024-08-23,True
2024-08-24,False
2024-08-25,False
2024-08-26,True
2024-08-27,True
2024-08-28,True
2024-08-29,True
2024-08-30,True
2024-08-31,False
2024-09-01,False
2024-09-02,True
2024-09-03,True
2024-09-04,True
2024-09-05,True
2024-09-06,True
2024-09-07,False
2024-09-08,False
2024-09-09,True
2024-09-10,True
2024-09-11,True
2024-09-12,True
2024-09-13,True
2024-09-14,False
2024-09-15,False
2024-09-16,True
2024-09-17,True
2024-09-18,True
2024-09-19,True
2024-09-20,True
2024-09-21,False
2024-09-22,False
2024-09-23,True
2024-09-24,True
2024-09-25,True
2024-09-26,True
2024-09-27,True
2024-09-28,False
2024-09-29,False
2024-09-30,True
2024-10-01,True
2024-10-02,True
2024-10-03,True
2024-10-04,True
2024-10-05,False
2024-10-06,False
2024-10-07,True
2024-10-08,True
2024-10-09,True
2024-10-10,True
2024-10-11,True
2024-10-12,False
2024-10-13,False
2024-10-14,True
2024-10-15,True
2024-10-16,True
2024-10-17,True
2024-10-18,True
2024-10-19,False
2024-10-20,False
2024-10-21,True
2024-10-22,True
2024-10-23,True
2024-10-24,True
2024-10-25,True
2024-10-26,False
2024-10-27,False
2024-10-28,True
2024-10-29,True
2024-10-30,True
2024-10-31,True
2024-11-01,True
2024-11-02,False
2024-11-03,False
2024-11-04,True
2024-11-05,True
2024-11-06,True
2024-11-07,True
2024-11-08,True
2024-11-09,False
2024-11-10,False
2024-11-11,True
2024-11-12,True
2024-11-13,True
2024-11-14,True
2024-11-15,True
2024-11-16,False
2024-11-17,False
2024-11-18,True
2024-11-19,True
2024-11-20,True
2024-11-21,True
2024-11-22,True
2024-11-23,False
2024-11-24,False
2024-11-25,True
2024-11-26,True
2024-11-27,True
2024-11-28,True
2024-11-29,True
2024-11-30,False
2024-12-01,False
2024-12-02,True
2024-12-03,True
2024-12-04,True
2024-12-05,True
2024-12-06,True
2024-12-07,False
2024-12-08,False
2024-12-09,True
2024-12-10,True
2024-12-11,True
2024-12-12,True
2024-12-13,True
2024-12-14,False
2024-12-15,False
2024-12-16,True
2024-12-17,True
2024-12-18,True
2024-12-19,True
2024-12-20,True
2024-12-21,False
2024-12-22,False
2024-12-23,True
2024-12-24,True
2024-12-25,True
2024-12-26,True
2024-12-27,True
2024-12-28,False
2024-12-29,False
2024-12-30,True
2024-12-31,True
